"Dependent","Intercept","Slope","R_squared","P_value"
"Native.AmericanRenters","0.334472165960326","0.0028458321986203","0.00155672691137077","0.00569112776049073"
"AsianRenters","3.11279733370691","0.143451241258262","0.0364977404082857","1.40490202633164e-41"
"Pacific.IslanderRenters","0.0736803572714741","0.00129163167668066","0.00316609018071791","7.98332537963803e-05"
"OtherRenters","2.76430362617952","0.0275211865031718","0.00385422829091576","1.34106970202565e-05"
"Multi.RaceRenters","2.0291880739699","0.0643761855081497","0.0430125936128186","7.61363571956704e-49"
"Households","32.6950427704712","0.691435472393153","0.0459757647071733","3.64897037142161e-52"
"LatinoHomeowners","2.0158202289758","0.00601825117653807","0.000476066354140049","0.1263446523053"
"LatinoRenters","4.48254915794281","0.064145805670681","0.0100792355909314","1.77797830167919e-12"
"PopulationNet","7.8770928204146","1.21595056956112","0.236731811511328","2.87613143445221e-290"
"WhiteNet","3.00446533814976","0.427429858486863","0.227047930747665","8.02599220928801e-277"
"BlackNet","-3.60178494493787","0.307541302006548","0.0793310945766705","3.27832874759144e-90"
"Native.AmericanNet","0.0266699397523838","0.00184616929098178","0.00071983683403752","0.0601272425259945"
"AsianNet","0.436604770756681","0.306449341567141","0.201121523120188","1.23615904125782e-241"
"Pacific.IslanderNet","0.111551115643181","0.000837821738208125","3.16006275890026e-05","0.69372486913627"
"OtherNet","0.347673796993971","0.00413177556471265","0.00200365740961306","0.00170496565776322"
"Multi.RaceNet","2.12752158757861","0.0596812750159925","0.0368929737045322","5.10579570717578e-42"
"LatinoNet","5.4240226448438","0.107781091996426","0.00984219962436212","3.23643037434231e-12"
"HomesNet","9.47101084609886e-14","0.999999999999946","1","0"
"VacantNet","-1.48053960483445","0.226414706664042","0.21414096398784","3.68608839729185e-259"
"Net.Households","1.48134022053755","0.77359322718666","0.760762574398356","0"
"Net.Homeowners","0.405186174514723","0.0811520454488971","0.0188546904740361","4.24488479515689e-22"
"Net.Renters","1.075944902849","0.692214231310269","0.535570950594675","0"
"Net.White.Homeowners","-0.241588142204581","0.0349893924803877","0.0108284964887557","2.67882689733264e-13"
"Net.Black.Homeowners","-0.730010528405954","0.0156834247151173","0.00381577183755198","1.48110400300471e-05"
"Net.Native.American.Homeowners","0.0497923435555858","0.001209983108129","0.00169803974583338","0.00387770464374445"
"Net.Asian.Homeowners","0.219875594457622","0.0194859479196079","0.00776686644822278","6.17702707807631e-10"
"Net.Pacific.Islander.Homeowners","-0.00137367323919279","0.000200682724227816","0.000155859843183659","0.381786410323863"
"Net.Other.Homeowners","0.332342526802022","0.00186314623902371","0.000156056933364426","0.381485566120071"
"Net.Multi.Race.Homeowners","0.776721887297307","0.00762543517026093","0.00287380448129941","0.000171191704752283"
"Net.White.Renters","-0.248252447753097","0.292606339828357","0.327781409463752","0"
"Net.Black.Renters","-1.09615689798581","0.163115984484744","0.134211001981609","7.96534908010517e-156"
"Net.Native.American.Renters","0.188755024501102","0.00359015754538693","0.00275171794852893","0.000235698834190169"
"Net.Asian.Renters","0.229807494235278","0.135915022234276","0.188805253577366","2.57719256110027e-225"
"Net.Pacific.Islander.Renters","-0.000372510372019636","0.00147561834904722","0.00260466563857261","0.000346791169709896"
"Net.Other.Renters","0.890063298657337","0.0298814358859543","0.0136753163388959","2.02850207738435e-16"
"Net.Multi.Race.Renters","1.11349522254839","0.0655323737390595","0.0767286478011708","3.39765284876773e-87"
"Net.Latino.Homeowners","0.333368024011626","0.00715010376154996","0.00112752718637769","0.0186242029024066"
"Net.Latino.Renters","1.00974050096548","0.0694932298435168","0.0437985063546813","1.00484050912675e-49"
