"Dependent","Intercept","Slope","R_squared","P_value"
"Net.Black.Homeowners","-0.280453402917178","0.0070872848712492","0.00300145388188828","1.0382369502919e-13"
"Net.Native.American.Homeowners","0.0334496825672123","0.000599086893298049","0.00060381541141591","0.000858525103204243"
"Net.Asian.Homeowners","1.43139180781944","0.13909995465035","0.109949892883449","0"
"Net.Pacific.Islander.Homeowners","0.00361087741847264","0.000673750237907501","0.000719848844264569","0.000273158103535651"
"Net.Other.Homeowners","0.215331452633091","0.006175603263663","0.00323136787863019","1.20099325007767e-14"
"Net.Multi.Race.Homeowners","0.788600523073656","0.00933428447939201","0.00583989567962463","3.06941362023842e-25"
"Net.White.Renters","-1.14250443787292","0.241388902389839","0.28820344557888","0"
"Net.Black.Renters","-0.511175578180015","0.0809163250698052","0.103782111297009","0"
"Net.Native.American.Renters","0.0866379188663196","0.00370520593899958","0.00871121866026178","7.04948277921303e-37"
"Net.Asian.Renters","0.503079872757302","0.259320931634859","0.370244841393014","0"
"Net.Pacific.Islander.Renters","0.00203845741618274","0.00305546818760266","0.0104275794743518","7.71657727879389e-44"
"Net.Other.Renters","0.539339296138701","0.0403878329724923","0.0404007818011759","5.46452062978637e-167"
"Net.Multi.Race.Renters","0.758755788161381","0.0558909086693927","0.103690473203589","0"
"Net.Latino.Homeowners","0.101116617894394","0.0129005142530331","0.00604225886283261","4.64122506702225e-26"
"Net.Latino.Renters","0.532547872655098","0.0782949206776363","0.0987809190206897","0"
